Source,Time,Line
May 16–21,May 16 10:16:41,"May 16 10:16:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:17:11,"May 16 10:17:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:17:32,May 16 10:17:32 Antminer local0.notice cgminer[1403]: Pool 0 extranonce change requested
May 16–21,May 16 10:17:41,"May 16 10:17:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:18:11,"May 16 10:18:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:18:41,"May 16 10:18:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:19:11,"May 16 10:19:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:19:40,May 16 10:19:40 Antminer local0.notice cgminer[1403]: Pool 0 extranonce change requested
May 16–21,May 16 10:19:40,May 16 10:19:40 Antminer local0.notice cgminer[1403]: Stratum from pool 0 requested work restart
May 16–21,May 16 10:19:41,"May 16 10:19:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:19:55,May 16 10:19:55 Antminer local0.notice cgminer[1403]: Stratum from pool 0 requested work restart
May 16–21,May 16 10:20:11,"May 16 10:20:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:20:41,"May 16 10:20:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:21:11,"May 16 10:21:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:21:41,"May 16 10:21:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:21:43,May 16 10:21:43 Antminer local0.notice cgminer[1403]: Pool 0 extranonce change requested
May 16–21,May 16 10:22:11,"May 16 10:22:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:22:41,"May 16 10:22:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:23:11,"May 16 10:23:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:23:41,"May 16 10:23:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:24:11,"May 16 10:24:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:24:41,"May 16 10:24:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:25:11,"May 16 10:25:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:25:41,"May 16 10:25:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:26:11,"May 16 10:26:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:26:41,"May 16 10:26:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:27:11,"May 16 10:27:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:27:41,"May 16 10:27:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:28:11,"May 16 10:28:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:28:41,"May 16 10:28:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:29:11,"May 16 10:29:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:29:41,"May 16 10:29:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:30:11,"May 16 10:30:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:30:41,"May 16 10:30:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:31:11,"May 16 10:31:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:31:41,"May 16 10:31:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:32:11,"May 16 10:32:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:32:41,"May 16 10:32:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:33:11,"May 16 10:33:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:33:41,"May 16 10:33:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:34:11,"May 16 10:34:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:34:41,"May 16 10:34:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:35:11,"May 16 10:35:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:35:41,"May 16 10:35:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:35:58,May 16 10:35:58 Antminer local0.notice cgminer[1403]: Pool 0 extranonce change requested
May 16–21,May 16 10:36:11,"May 16 10:36:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:36:41,"May 16 10:36:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:37:11,"May 16 10:37:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:37:41,"May 16 10:37:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:38:11,"May 16 10:38:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:38:41,"May 16 10:38:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:39:11,"May 16 10:39:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:39:41,"May 16 10:39:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:40:11,"May 16 10:40:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:40:41,"May 16 10:40:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:41:11,"May 16 10:41:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
